frame,expression,pitch,yaw,roll,au_1_detected,au_2_detected,au_4_detected,au_6_detected,au_7_detected,au_10_detected,au_12_detected,au_14_detected,au_15_detected,au_17_detected,au_23_detected,au_24_detected,au_1_intensity_intensity,au_2_intensity_intensity,au_4_intensity_intensity,au_5_intensity_intensity,au_6_intensity_intensity,au_9_intensity_intensity,au_12_intensity_intensity,au_15_intensity_intensity,au_17_intensity_intensity,au_20_intensity_intensity,au_25_intensity_intensity,au_26_intensity_intensity
0000000000.png,Neutral,-0.15,0.07,-0.02,0,0,1,1,1,1,0,1,0,0,0,0,0.05,0.04,0.66,0.03,0.03,0.25,0.18,0.03,0.09,0.05,0.07,0.06
0000000002.png,Neutral,-0.2,0.1,-0.02,0,0,1,1,1,1,0,1,0,0,0,0,0.05,0.04,0.77,0.04,0.03,0.29,0.22,0.04,0.1,0.05,0.07,0.06
0000000004.png,Neutral,-0.19,0.1,-0.03,0,0,1,1,1,1,0,1,0,0,0,0,0.05,0.04,0.62,0.03,0.03,0.19,0.19,0.04,0.1,0.05,0.04,0.05
0000000006.png,Neutral,-0.19,0.07,-0.02,0,0,1,1,1,1,0,1,0,0,0,0,0.04,0.04,0.7,0.03,0.03,0.16,0.2,0.03,0.08,0.05,0.04,0.04
0000000008.png,Neutral,-0.19,0.02,-0.02,0,0,1,1,1,1,0,1,0,0,0,0,0.04,0.03,0.55,0.03,0.03,0.14,0.21,0.04,0.08,0.05,0.04,0.04
0000000010.png,Neutral,-0.15,0.06,-0.02,0,0,1,1,1,1,0,1,0,0,0,0,0.04,0.03,0.57,0.03,0.03,0.14,0.21,0.03,0.08,0.06,0.04,0.04
0000000012.png,Neutral,-0.2,0.11,-0.03,0,0,1,0,1,1,0,1,0,1,0,0,0.04,0.03,0.37,0.03,0.02,0.1,0.12,0.03,0.08,0.06,0.02,0.03
0000000014.png,Neutral,-0.25,0.05,-0.03,0,0,1,0,1,1,0,1,0,1,0,0,0.03,0.02,0.28,0.02,0.02,0.07,0.07,0.03,0.09,0.05,0.02,0.03
0000000016.png,Neutral,-0.12,0.08,-0.02,0,0,1,0,1,1,0,1,0,1,0,0,0.03,0.02,0.26,0.02,0.02,0.07,0.07,0.04,0.08,0.05,0.02,0.03
0000000018.png,Neutral,-0.19,0.09,-0.02,0,0,1,0,1,1,0,1,0,1,0,0,0.03,0.02,0.22,0.02,0.02,0.07,0.08,0.04,0.1,0.06,0.01,0.02
0000000020.png,Neutral,-0.26,0.08,-0.02,0,0,1,0,1,1,0,1,0,1,0,1,0.03,0.02,0.26,0.02,0.02,0.06,0.08,0.04,0.14,0.05,0.01,0.03
0000000022.png,Neutral,-0.3,0.09,-0.02,0,0,1,0,1,1,0,1,0,1,0,0,0.03,0.02,0.28,0.02,0.02,0.07,0.09,0.04,0.1,0.05,0.02,0.03
0000000024.png,Neutral,-0.21,0.12,-0.02,0,0,1,1,1,1,0,1,0,0,0,0,0.03,0.03,0.34,0.03,0.02,0.1,0.13,0.04,0.08,0.06,0.03,0.03
0000000026.png,Neutral,-0.27,0.15,-0.02,0,0,1,1,1,1,0,1,0,0,0,0,0.03,0.03,0.33,0.03,0.02,0.12,0.12,0.05,0.08,0.06,0.03,0.03
0000000028.png,Neutral,-0.25,0.07,-0.02,0,0,1,1,1,1,0,1,0,0,0,0,0.03,0.03,0.35,0.03,0.03,0.12,0.12,0.05,0.08,0.06,0.03,0.03
0000000030.png,Neutral,-0.35,0.14,-0.02,0,0,1,1,1,1,0,1,0,0,0,0,0.03,0.03,0.37,0.03,0.02,0.1,0.12,0.06,0.09,0.06,0.04,0.03
0000000032.png,Happiness,-0.36,0.22,-0.02,0,0,1,1,1,1,0,1,1,1,0,1,0.03,0.03,0.74,0.03,0.02,0.09,0.09,0.09,0.15,0.05,0.04,0.03
0000000034.png,Happiness,-0.59,0.23,-0.02,0,0,1,1,1,1,0,1,1,1,1,1,0.04,0.03,0.64,0.04,0.02,0.08,0.08,0.12,0.21,0.06,0.03,0.04
0000000036.png,Happiness,-0.57,0.25,-0.01,0,0,1,1,1,1,0,1,1,1,1,1,0.04,0.03,0.6,0.04,0.02,0.06,0.06,0.15,0.26,0.06,0.04,0.04
0000000038.png,Happiness,-0.56,0.27,-0.01,0,0,1,1,1,1,0,0,1,1,1,0,0.04,0.03,0.62,0.04,0.03,0.08,0.09,0.11,0.19,0.05,0.31,0.06
0000000040.png,Happiness,-0.57,0.25,-0.0,0,0,1,1,1,1,0,0,1,0,0,0,0.03,0.03,0.79,0.04,0.02,0.08,0.11,0.09,0.12,0.04,0.82,0.07
0000000042.png,Happiness,-0.57,0.33,0.0,0,0,1,0,1,1,0,0,0,0,0,0,0.03,0.03,0.69,0.04,0.02,0.07,0.12,0.05,0.06,0.04,0.86,0.07
0000000044.png,Happiness,-0.64,0.3,0.0,0,0,1,0,1,1,0,0,0,0,0,0,0.05,0.03,0.81,0.04,0.03,0.09,0.23,0.05,0.06,0.04,1.65,0.1
0000000046.png,Happiness,-0.72,0.31,0.01,0,0,1,0,1,1,1,0,0,0,0,0,0.05,0.03,0.76,0.04,0.03,0.1,0.23,0.05,0.05,0.04,1.68,0.11
0000000048.png,Happiness,-0.68,0.26,0.0,0,0,1,0,1,1,1,0,0,0,0,0,0.06,0.03,0.82,0.05,0.03,0.11,0.31,0.05,0.06,0.04,1.89,0.13
0000000050.png,Happiness,-0.77,0.31,0.0,0,0,1,1,1,1,1,0,0,0,0,0,0.08,0.04,0.97,0.06,0.04,0.12,0.37,0.05,0.06,0.04,1.96,0.14
0000000052.png,Happiness,-0.74,0.18,0.01,0,0,1,1,1,1,1,0,0,0,0,0,0.08,0.04,0.95,0.06,0.04,0.13,0.42,0.06,0.07,0.04,2.15,0.15
0000000054.png,Happiness,-0.59,0.1,-0.0,0,0,1,1,1,1,1,0,0,0,0,0,0.07,0.04,1.24,0.06,0.05,0.14,0.59,0.07,0.07,0.05,2.11,0.16
0000000056.png,Happiness,-0.83,0.27,0.01,0,0,1,1,1,1,1,0,0,0,0,0,0.07,0.04,1.21,0.06,0.06,0.14,0.6,0.07,0.07,0.05,2.16,0.18
0000000058.png,Happiness,-0.91,0.18,0.01,0,0,1,1,1,1,1,0,0,0,0,0,0.07,0.04,0.87,0.06,0.06,0.14,0.57,0.07,0.07,0.05,2.13,0.18
0000000060.png,Happiness,-0.77,-0.01,-0.0,0,0,0,1,1,1,1,0,0,0,0,0,0.09,0.04,0.55,0.06,0.07,0.12,0.71,0.06,0.07,0.05,2.13,0.17
0000000062.png,Happiness,-1.06,0.17,0.01,0,0,0,1,1,1,1,0,0,0,0,0,0.09,0.05,0.71,0.06,0.07,0.13,0.62,0.07,0.07,0.05,1.94,0.16
0000000064.png,Happiness,-0.83,0.29,0.01,0,0,1,1,1,1,1,0,0,0,0,0,0.09,0.05,0.81,0.06,0.08,0.14,0.6,0.07,0.07,0.05,1.9,0.15
0000000066.png,Happiness,-0.76,0.2,0.01,0,0,1,1,1,1,1,0,0,0,0,0,0.09,0.05,0.85,0.06,0.1,0.15,0.68,0.07,0.07,0.05,1.93,0.15
0000000068.png,Happiness,-0.87,0.26,0.01,0,0,1,1,1,1,1,0,0,0,0,0,0.08,0.05,1.09,0.07,0.09,0.17,0.65,0.07,0.08,0.05,1.95,0.15
0000000070.png,Happiness,-0.91,0.25,0.01,0,0,1,1,1,1,1,0,0,0,0,0,0.09,0.05,1.12,0.07,0.09,0.18,0.8,0.07,0.08,0.06,1.97,0.16
0000000072.png,Happiness,-0.71,0.17,0.01,0,0,1,1,1,1,1,0,0,0,0,0,0.09,0.06,1.2,0.07,0.1,0.18,0.87,0.08,0.08,0.06,2.0,0.16
0000000074.png,Happiness,-1.03,0.24,0.02,0,0,1,1,1,1,1,0,0,0,0,0,0.09,0.06,1.47,0.07,0.1,0.22,0.79,0.08,0.08,0.06,1.93,0.16
0000000076.png,Happiness,-1.2,0.34,0.02,0,0,1,1,1,1,1,0,0,0,0,0,0.09,0.05,1.33,0.07,0.1,0.18,0.84,0.08,0.08,0.06,1.91,0.18
0000000078.png,Happiness,-0.92,0.1,0.01,0,0,1,1,1,1,1,0,0,0,0,0,0.1,0.06,0.87,0.07,0.14,0.16,1.08,0.07,0.08,0.06,2.03,0.18
0000000080.png,Happiness,-0.83,0.31,0.02,0,0,1,1,1,1,1,0,0,0,0,0,0.11,0.06,0.92,0.07,0.13,0.17,0.92,0.07,0.08,0.06,1.78,0.18
0000000082.png,Happiness,-0.91,0.32,0.02,0,0,1,1,1,1,1,0,0,0,0,0,0.11,0.06,0.82,0.07,0.12,0.15,0.88,0.06,0.07,0.06,1.47,0.17
0000000084.png,Happiness,-1.0,0.31,0.03,0,0,1,1,1,1,1,0,0,0,0,0,0.1,0.05,0.69,0.06,0.1,0.14,0.83,0.06,0.07,0.06,1.63,0.16
0000000086.png,Happiness,-0.85,0.26,0.03,0,0,1,1,1,1,1,0,0,0,0,0,0.1,0.06,0.73,0.06,0.1,0.14,0.93,0.06,0.07,0.06,1.62,0.16
0000000088.png,Happiness,-1.15,0.35,0.03,0,0,1,1,1,1,1,0,0,0,0,0,0.1,0.06,0.9,0.06,0.1,0.16,0.94,0.06,0.07,0.06,1.67,0.15
0000000090.png,Happiness,-0.9,0.33,0.03,0,0,1,1,1,1,1,0,0,0,0,0,0.1,0.06,1.17,0.06,0.09,0.17,0.89,0.06,0.07,0.06,1.6,0.14
0000000092.png,Happiness,-0.93,0.33,0.03,0,0,1,1,1,1,1,0,0,0,0,0,0.1,0.06,1.29,0.07,0.11,0.18,0.88,0.06,0.07,0.06,1.52,0.14
0000000094.png,Happiness,-0.85,0.33,0.03,0,0,1,1,1,1,1,0,0,0,0,0,0.08,0.05,1.04,0.06,0.07,0.14,0.63,0.06,0.06,0.06,1.29,0.14
0000000096.png,Happiness,-0.98,0.37,0.03,0,0,1,1,1,1,1,0,0,0,0,0,0.07,0.05,0.86,0.06,0.07,0.13,0.64,0.06,0.06,0.06,1.3,0.16
0000000098.png,Happiness,-0.92,0.27,0.02,0,0,1,1,1,1,1,0,0,0,0,0,0.07,0.05,1.1,0.06,0.06,0.14,0.51,0.06,0.06,0.06,1.23,0.16
0000000100.png,Happiness,-1.04,0.23,0.02,0,0,1,1,1,1,1,0,0,0,0,0,0.08,0.06,1.56,0.06,0.09,0.24,0.69,0.06,0.08,0.06,1.36,0.13
