frame,expression,pitch,yaw,roll,au_1_detected,au_2_detected,au_4_detected,au_6_detected,au_7_detected,au_10_detected,au_12_detected,au_14_detected,au_15_detected,au_17_detected,au_23_detected,au_24_detected,au_1_intensity_intensity,au_2_intensity_intensity,au_4_intensity_intensity,au_5_intensity_intensity,au_6_intensity_intensity,au_9_intensity_intensity,au_12_intensity_intensity,au_15_intensity_intensity,au_17_intensity_intensity,au_20_intensity_intensity,au_25_intensity_intensity,au_26_intensity_intensity
0000000000.png,Neutral,-0.15,0.07,-0.02,0,0,1,1,1,1,0,1,0,0,0,0,0.05,0.04,0.66,0.03,0.03,0.25,0.18,0.03,0.09,0.05,0.07,0.06
0000000005.png,Neutral,-0.18,0.07,-0.02,0,0,1,1,1,1,0,1,0,0,0,0,0.04,0.03,0.64,0.03,0.03,0.16,0.17,0.03,0.09,0.05,0.04,0.04
0000000010.png,Neutral,-0.15,0.06,-0.02,0,0,1,1,1,1,0,1,0,0,0,0,0.04,0.03,0.57,0.03,0.03,0.14,0.21,0.03,0.08,0.06,0.04,0.04
0000000015.png,Neutral,-0.13,0.06,-0.02,0,0,1,0,1,1,0,1,0,1,0,0,0.03,0.02,0.28,0.02,0.02,0.07,0.07,0.03,0.08,0.05,0.02,0.03
0000000020.png,Neutral,-0.26,0.08,-0.02,0,0,1,0,1,1,0,1,0,1,0,1,0.03,0.02,0.26,0.02,0.02,0.06,0.08,0.04,0.14,0.05,0.01,0.03
0000000025.png,Neutral,-0.31,0.15,-0.02,0,0,1,1,1,1,0,1,0,0,0,0,0.03,0.03,0.32,0.03,0.02,0.11,0.12,0.05,0.08,0.06,0.03,0.03
0000000030.png,Neutral,-0.35,0.14,-0.02,0,0,1,1,1,1,0,1,0,0,0,0,0.03,0.03,0.37,0.03,0.02,0.1,0.12,0.06,0.09,0.06,0.04,0.03
0000000035.png,Happiness,-0.57,0.21,-0.01,0,0,1,1,1,1,0,1,1,1,1,1,0.04,0.03,0.7,0.04,0.03,0.07,0.07,0.15,0.27,0.06,0.04,0.04
0000000040.png,Happiness,-0.57,0.25,-0.0,0,0,1,1,1,1,0,0,1,0,0,0,0.03,0.03,0.79,0.04,0.02,0.08,0.11,0.09,0.12,0.04,0.82,0.07
0000000045.png,Happiness,-0.76,0.29,0.01,0,0,1,0,1,1,0,0,0,0,0,0,0.05,0.03,0.89,0.04,0.03,0.1,0.25,0.05,0.05,0.04,1.68,0.1
0000000050.png,Happiness,-0.77,0.31,0.0,0,0,1,1,1,1,1,0,0,0,0,0,0.08,0.04,0.97,0.06,0.04,0.12,0.37,0.05,0.06,0.04,1.96,0.14
0000000055.png,Happiness,-0.81,0.21,0.01,0,0,1,1,1,1,1,0,0,0,0,0,0.07,0.04,1.3,0.06,0.05,0.14,0.56,0.06,0.07,0.05,2.09,0.16
0000000060.png,Happiness,-0.77,-0.01,-0.0,0,0,0,1,1,1,1,0,0,0,0,0,0.09,0.04,0.55,0.06,0.07,0.12,0.71,0.06,0.07,0.05,2.13,0.17
0000000065.png,Happiness,-0.97,0.18,0.02,0,0,1,1,1,1,1,0,0,0,0,0,0.09,0.05,0.85,0.06,0.09,0.14,0.6,0.07,0.07,0.05,1.88,0.14
0000000070.png,Happiness,-0.91,0.25,0.01,0,0,1,1,1,1,1,0,0,0,0,0,0.09,0.05,1.12,0.07,0.09,0.18,0.8,0.07,0.08,0.06,1.97,0.16
